case,arm,windows,n_frames_used,quantity,truth,median,lo,hi,width_post,width_prior,contraction,bias_log,covered
no_swe,independent,bmode+ceus,0,R,0.005000000000000002,0.0050200788912191105,0.004994578237571289,0.005045709742714584,0.010185354699182723,1.7917594692280547,0.005684554692807561,0.00400773652834463,True
no_swe,independent,bmode+ceus,0,x_c,0.012,0.011997142524529814,0.0119741215458289,0.012020163503230728,4.604195740182888e-05,0.006,0.0076736595669714795,-2.8574754701859995e-06,True
no_swe,independent,bmode+ceus,0,v,0.0010000000000000002,0.0009979017069743485,0.000996032903143638,0.000999774017142798,0.0037489782632386327,2.5902671654458267,0.0014473326586732119,-0.0021004975267953085,False
no_swe,independent,bmode+ceus,0,D,9.999999999999994e-08,9.932506625719308e-08,9.668603462094457e-08,1.02036129888594e-07,0.05385799276805462,4.605170185988094,0.011695114532775676,-0.006772217212965614,True
no_swe,independent,bmode+ceus,0,w_bmode,0.00035000000000000005,0.00034435010928929544,0.00012152811123450829,0.0009757166186738151,2.083026590329634,2.120263536200092,0.9824375860666861,-0.016274255114276492,True
no_swe,independent,bmode+ceus,0,w_swe,0.0006325345840347388,0.000794790586812379,0.0004338478996145996,0.0014560219778561043,1.2107693123672645,1.2107693123672645,1.0,0.22834376971780213,True
no_swe,independent,bmode+ceus,0,w_ceus,0.0008750000000000001,0.0008724140460868088,0.0008506911485255783,0.0008946916505816587,0.050429999425737476,2.120263536200091,0.02378477890353077,-0.0029597516475918795,True
no_swe,independent,bmode+ceus,0,w0,0.00035,0.0003449238721017473,0.0001226968719690366,0.0009821721869037992,2.0800497779958693,2.105293454258506,0.9880094263288689,-0.014609422375871749,True
no_swe,shared,bmode+ceus,0,sig_e,0.0005999999999999997,0.0005961652073334673,0.0005566619563755176,0.000638471787705928,0.13711933412166027,3.688879454113936,0.03717099889744057,-0.006411833049290827,True
no_swe,shared,bmode+ceus,0,R,0.005000000000000002,0.005020078621468261,0.004994577898488163,0.005045709543012828,0.010185383010899673,1.7917594692280547,0.005684570493877647,0.0040076827939588,True
no_swe,shared,bmode+ceus,0,x_c,0.012,0.011997142448543824,0.011974121418255856,0.012020163478831792,4.604206057593459e-05,0.006,0.007673676762655766,-2.857551456176069e-06,True
no_swe,shared,bmode+ceus,0,v,0.0010000000000000002,0.00099790168447353,0.0009960328813155759,0.0009997739939667754,0.0037489769969795642,2.5902671654458267,0.001447332169820523,-0.0021005200749266706,False
