config,windows,level,normalized,richer,quantity,truth,median,lo,hi,width_post,width_prior,contraction,bias_log,covered
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,k,3.4999999999999997e-13,3.193729692975647e-13,1.0125933119138771e-14,1.0073056212978267e-11,6.902519667825768,6.907755278982138,0.9992420676551326,-0.09157355190949446,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,D,1.0000000000000004e-06,9.949490417456407e-07,9.690316107856278e-07,1.02155965259792e-06,0.05278857618527258,4.605170185988092,0.011462893672396645,-0.005063757461032381,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,vmag,0.0010488088481701513,0.0010475233170284058,0.0010393457095375805,0.0010557652662138762,0.015674485066415642,4.605170185988091,0.0034036711855096194,-0.0012264576427609697,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,S_v,2.800000000000001e-05,2.8040620140097652e-05,1.847441771499051e-05,4.2560279299263106e-05,0.8345344586134956,3.1035495276192426,0.2688967748659302,0.0014496680125883898,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,C_v,0.0010000000000000002,0.0010000000000000002,0.0006666666666666666,0.0015000000000000007,0.8109302162163292,0.8109302162163292,1.0,0.0,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,A,1.0,1.000915618708825,0.9100982917377243,1.1007954688744563,0.19023574438265556,0.19062035960864981,0.9979822972384279,0.0009151997857114735,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,t0,4.0,3.9974326560112523,3.965854356542049,4.029010955480455,0.06315659893840643,13.499999999999998,0.004678266588030106,-0.0025673439887476945,True
E5_ceus_only_network,ceus,network,False,False,phi,0.028000000000000004,0.02824331499229303,0.025595242468008688,0.031165355934834563,0.19690059805385574,2.9957322735539917,0.06572703435219276,0.0086522819732342,True
E5_ceus_only_network,ceus,network,False,False,k,3.4999999999999997e-13,5.191847229177619e-13,9.686121421024237e-14,2.782876290670017e-12,3.3579611361277797,6.907755278982139,0.4861146639552895,0.39432658620110317,True
E5_ceus_only_network,ceus,network,False,False,D,1.0000000000000004e-06,1.0106990749686154e-06,9.842569949939086e-07,1.0378515218464227e-06,0.05302097423049119,4.605170185988092,0.011513358266718418,0.010642244859726091,True
E5_ceus_only_network,ceus,network,False,False,vmag,0.0010488088481701513,0.0010542725149391072,0.001045996566084955,0.0010626139432906663,0.015761774074943873,4.605170185988091,0.0034226257528769282,0.005195879871079612,True
E5_ceus_only_network,ceus,network,False,False,S_v,2.800000000000001e-05,2.8243314992293036e-05,2.818396113112057e-06,0.0002830279384940982,4.60937764643206,5.493815094879564,0.8390121558201271,0.008652281973233755,True
E5_ceus_only_network,ceus,network,False,False,C_v,0.0010000000000000002,0.0010000000000000002,0.00010000000000000009,0.009999999999999995,4.605170185988091,4.605170185988091,1.0,0.0,True
E5_ceus_only_network,ceus,network,False,False,A,1.0,1.0015992763700734,0.9108175851793695,1.1014292288038028,0.19002127293802046,0.19062035960864981,0.9968571737465016,0.0015979988894678856,True
E5_ceus_only_network,ceus,network,False,False,t0,4.0,4.012418664545072,3.981026239614793,4.0438110894753505,0.06278484986055767,13.499999999999998,0.0046507296193005684,0.012418664545071678,True
E6_joint_independent_norm,swe+ceus,independent,True,False,mu,2999.9999999999977,3009.595979091311,2999.4643677340223,3019.761813075079,0.006744229795144014,2.302585092994047,0.002928981784718542,0.0031935548680195325,True
E6_joint_independent_norm,swe+ceus,independent,True,False,eta_s,1.5,1.488331080358839,1.4686570430587345,1.508268669824179,0.026614009654905634,4.605170185988092,0.005779158767222691,-0.007809696205616501,True
E6_joint_independent_norm,swe+ceus,independent,True,False,phi,0.028000000000000004,0.022369487192446542,0.00500196958068728,0.10003938432274008,2.995732200672642,2.995732273553991,0.999999975671608,-0.22450665883191956,True
E6_joint_independent_norm,swe+ceus,independent,True,False,k,3.4999999999999997e-13,3.191021874284131e-13,1.0117277479863437e-14,1.0064585677744295e-11,6.90253356863426,6.907755278982138,0.9992440800032731,-0.09242176622929676,True
E6_joint_independent_norm,swe+ceus,independent,True,False,D,1.0000000000000004e-06,1.001405973435562e-06,9.690135783301917e-07,1.0348811885179964e-06,0.06576328089050455,4.605170185988092,0.014280315001299847,0.001404985980359541,True
E6_joint_independent_norm,swe+ceus,independent,True,False,vmag,0.0010488088481701513,0.0010501832211444778,0.001043085153550263,0.0010573295902252978,0.013563659366848365,4.605170185988091,0.0029453112087188,0.0013095553726305553,True
E6_joint_independent_norm,swe+ceus,independent,True,False,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,5.493815094879565,5.493815094879565,1.0,-0.22490046096410943,True
E6_joint_independent_norm,swe+ceus,independent,True,False,A,1.0,0.9999999521368461,0.9090908655789509,1.0999999473505309,0.19062035960864981,0.19062035960864981,1.0,-4.786315503389231e-08,True
E6_joint_independent_norm,swe+ceus,independent,True,False,t0,4.0,4.006560008061669,3.968745998705914,4.044374017417423,0.07562801871150952,13.499999999999998,0.005602075460111817,0.006560008061669009,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,mu,2999.9999999999977,3009.5959836563115,2999.4643722834317,3019.7618176557244,0.006744229795293055,2.302585092994047,0.00292898178478327,0.0031935563848346504,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,eta_s,1.5,1.4883310730981132,1.4686570336763365,1.5082686647436523,0.026614012674876297,4.605170185988092,0.005779159423000989,-0.007809701084051157,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,phi,0.028000000000000004,0.02236944881497085,0.0050019609992178245,0.10003921269355141,2.9957322006745204,2.995732273553991,0.9999999756722351,-0.2245083744505334,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,k,3.4999999999999997e-13,3.190999548659322e-13,1.0117206298998992e-14,1.0064515656413433e-11,6.902533647010256,6.907755278982138,0.9992440913493608,-0.09242876264103828,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,D,1.0000000000000004e-06,1.0014059803560348e-06,9.69013585080942e-07,1.034881195611995e-06,0.06576328077877652,4.605170185988092,0.014280314977038414,0.0014049928911159526,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,vmag,0.0010488088481701513,0.0010501832221891775,0.0010430851545951214,0.001057329591269788,0.013563659353005433,4.605170185988091,0.002945311205712845,0.0013095563674090371,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,S_v,2.800000000000001e-05,2.2369448814970837e-05,1.4344601956387032e-06,0.0003488366158970324,5.493815055138987,5.493815094879564,0.999999992766306,-0.22450837445053473,True
