scenario,configuration,quantity,n_replicates,truth,contraction_median,contraction_min,contraction_max,coverage,absolute_bias_log_median,rank_min,n_par,least_fisher_eigenvalue_median,least_informed_contraction_median
L8_02,E8_relax_independent_matched,D,5,2.9999999999999997e-06,0.0221212417446175,0.022029974193230016,0.022330636947312896,1.0,0.02059378886787755,15,16,0.0,1.0
L8_02,E8_relax_independent_matched,S_v,5,2.9999999999999977e-05,0.6570702247190703,0.6567128179643158,0.657844598156886,1.0,0.29674309967654366,15,16,0.0,1.0
L8_02,E8_relax_independent_matched,eta_s,5,0.5,0.004288027384432345,0.0038424646317643104,0.00451537750520518,0.8,0.0025371919275539723,15,16,0.0,1.0
L8_02,E8_relax_independent_matched,k,5,1.9999999999999983e-12,0.29983180761307077,0.2993819877733031,0.3006900164984224,1.0,0.30834865270832523,15,16,0.0,1.0
L8_02,E8_relax_independent_matched,mu,5,1999.9999999999998,0.0013248988227384656,0.0013216495513994858,0.0013271960237356344,0.6,0.0007959286268794941,15,16,0.0,1.0
L8_02,E8_relax_independent_matched,phi,5,0.011999999999999999,0.0710366260463927,0.07097070902503894,0.07136209827896278,1.0,0.016716688767313137,15,16,0.0,1.0
L8_02,E8_relax_independent_matched,vmag,5,0.002999999999999999,0.006163352818222016,0.006082664805184911,0.006202117867271748,1.0,0.010811977896798552,15,16,0.0,1.0
L8_03,E2_ceus,D,5,3.0000000000000015e-07,0.020898200005585517,0.020450694467559254,0.021282125720478,0.8,0.023046164757831278,6,9,0.0,1.0
L8_03,E2_ceus,S_v,5,0.00015000000000000004,1.0,1.0,1.0,1.0,1.9033312448851607,6,9,0.0,1.0
L8_03,E2_ceus,k,5,7.000000000000004e-14,1.0,1.0,1.0,1.0,1.5079674904357532,6,9,0.0,1.0
L8_03,E2_ceus,phi,5,0.06,0.8382751537499445,0.83827360219845,0.8382764085813763,1.0,0.6915708075859528,6,9,0.0,1.0
L8_03,E2_ceus,vmag,5,0.002999999999999999,0.006329645124441415,0.006166975140058301,0.006458023565088238,1.0,0.008220259150109932,6,9,0.0,1.0
L8_03,E2_ceus_Acal,D,5,3.0000000000000015e-07,0.02089637310590151,0.020448957974715264,0.02128010996907738,0.8,0.022609050031030975,6,9,0.0,1.0
L8_03,E2_ceus_Acal,S_v,5,0.00015000000000000004,1.0,1.0,1.0,1.0,1.9033312448851607,6,9,0.0,1.0
L8_03,E2_ceus_Acal,k,5,7.000000000000004e-14,1.0,1.0,1.0,1.0,1.5079674904357532,6,9,0.0,1.0
L8_03,E2_ceus_Acal,phi,5,0.06,0.06763166990839355,0.06741577829089426,0.06780578056541851,1.0,0.004549174655876342,6,9,0.0,1.0
L8_03,E2_ceus_Acal,vmag,5,0.002999999999999999,0.006328809654381758,0.006166201749802115,0.006457208811634969,1.0,0.00830074986863849,6,9,0.0,1.0
L8_03,E3_joint_independent,D,5,3.0000000000000015e-07,0.020788534943082807,0.020431628977115646,0.02101524757066459,0.8,0.009449322529203386,11,13,0.0,1.0
L8_03,E3_joint_independent,S_v,5,0.00015000000000000004,1.0,1.0,1.0,1.0,1.9033312448851607,11,13,0.0,1.0
L8_03,E3_joint_independent,eta_s,5,4.0,0.007030964749573475,0.006990168016386066,0.007077980945430642,1.0,0.006862475386285372,11,13,0.0,1.0
L8_03,E3_joint_independent,k,5,7.000000000000004e-14,0.99965222148369,0.9995890345568481,0.9997045478533612,1.0,1.4997569976819491,11,13,0.0,1.0
