scenario,configuration,replicate,seed,windows,level,quantity,truth,median,lo,hi,contraction,bias_log,covered,rank,n_par,least_fisher_eigenvalue,least_informed_contraction
reference,E3_joint_independent,4,4,swe+ceus,independent,phi,0.028000000000000004,0.028327404035793733,0.02566899589788191,0.031261130065212916,0.06579079120728941,0.011625166422195132,True,12,13,0.0,1.0
reference,E3_joint_independent,4,4,swe+ceus,independent,k,3.4999999999999997e-13,2.9479211260343575e-13,9.345959821469743e-15,9.298391103026429e-12,0.9992612998671367,-0.17166274960274208,True,12,13,0.0,1.0
reference,E3_joint_independent,4,4,swe+ceus,independent,D,1.0000000000000004e-06,9.974907551220498e-07,9.715771966032859e-07,1.024095470779385e-06,0.011431566131298525,-0.0025123983091379642,True,12,13,0.0,1.0
reference,E3_joint_independent,4,4,swe+ceus,independent,vmag,0.0010488088481701513,0.0010397644938862798,0.0010316479663530736,0.0010479448784921949,0.0034034565571926007,-0.008660850578412038,False,12,13,0.0,1.0
reference,E3_joint_independent,4,4,swe+ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,0,0,swe+ceus,constitutive,mu,2999.9999999999977,3009.5961423852655,2999.4645759869727,3019.7619311039366,0.002928968606243553,0.003193609125784036,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,0,0,swe+ceus,constitutive,eta_s,1.5,1.488331291982986,1.468657396687282,1.508268735575917,0.0057791159480880165,-0.0078095540167347766,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,0,0,swe+ceus,constitutive,phi,0.028000000000000004,0.02804062289499705,0.025409293968488497,0.030944446284675946,0.06578642953869378,0.001449766259320029,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,0,0,swe+ceus,constitutive,k,3.4999999999999997e-13,3.1937130539643435e-13,1.0125880090078754e-14,1.0073004005899623e-11,0.9992420754886046,-0.09157876182274549,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,0,0,swe+ceus,constitutive,D,1.0000000000000004e-06,9.949490404036497e-07,9.690316094794223e-07,1.0215596512191636e-06,0.01146289367202566,-0.005063758809836116,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,0,0,swe+ceus,constitutive,vmag,0.0010488088481701513,0.0010475233170359828,0.0010393457095471672,0.0010557652662194115,0.0034036711846453798,-0.0012264576355276446,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,0,0,swe+ceus,constitutive,S_v,2.800000000000001e-05,2.804062289499707e-05,1.8474419530053275e-05,4.256028348064511e-05,0.2688967748655283,0.001449766259320029,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,0,0,swe+ceus,constitutive,C_v,0.0010000000000000002,0.0010000000000000002,0.0006666666666666666,0.0015000000000000007,1.0,0.0,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,1,1,swe+ceus,constitutive,mu,2999.9999999999977,2993.5351435133166,2983.4944786860947,3003.6095992360447,0.002918245152918718,-0.00215727741277405,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,1,1,swe+ceus,constitutive,eta_s,1.5,1.471606855577898,1.452056512391826,1.4914204226229806,0.005808283411941782,-0.019110205282671044,False,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,1,1,swe+ceus,constitutive,phi,0.028000000000000004,0.02733437379076155,0.02476954827518261,0.030164780650508788,0.0657802552605662,-0.024059486787867623,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,1,1,swe+ceus,constitutive,k,3.4999999999999997e-13,3.12119726357709e-13,9.893840643127744e-15,9.846401119193098e-12,0.9993042042956533,-0.11454630195670745,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,1,1,swe+ceus,constitutive,D,1.0000000000000004e-06,9.774722739394807e-07,9.519095777476113e-07,1.0037214339004654e-06,0.011508750907313889,-0.022785351781175578,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,1,1,swe+ceus,constitutive,vmag,0.0010488088481701513,0.0010542575982648874,0.0010460225703999302,0.0010625574580807563,0.0034056841950164765,0.005181730986862476,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,1,1,swe+ceus,constitutive,S_v,2.800000000000001e-05,2.7334373790761553e-05,1.8009150286716465e-05,4.1488242290042006e-05,0.2688953675019634,-0.024059486787868067,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,1,1,swe+ceus,constitutive,C_v,0.0010000000000000002,0.0010000000000000002,0.0006666666666666666,0.0015000000000000007,1.0,0.0,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,2,2,swe+ceus,constitutive,mu,2999.9999999999977,3002.974254829707,2992.8132442439187,3013.1697634371553,0.002943983623980365,0.000990927146053977,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,2,2,swe+ceus,constitutive,eta_s,1.5,1.4938015639764157,1.4737205963503612,1.5141561555592755,0.0058777566463676,-0.004140852189428446,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,2,2,swe+ceus,constitutive,phi,0.028000000000000004,0.027795824780713154,0.02518878631617294,0.0306726916311978,0.06575147887209991,-0.007318688502052417,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,2,2,swe+ceus,constitutive,k,3.4999999999999997e-13,3.366804654025912e-13,1.0673953219877386e-14,1.0619658288609916e-11,0.999261749151443,-0.038798847811850834,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,2,2,swe+ceus,constitutive,D,1.0000000000000004e-06,9.920438383492283e-07,9.661935625267195e-07,1.0185857320690374e-06,0.011466724442257546,-0.007987980789394555,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,2,2,swe+ceus,constitutive,vmag,0.0010488088481701513,0.0010444241565902965,0.0010362826975154607,0.0010526295782846242,0.003398661170036036,-0.004189402692287736,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,2,2,swe+ceus,constitutive,S_v,2.800000000000001e-05,2.779582478071315e-05,1.8313361906856062e-05,4.218820548459003e-05,0.26888880986381164,-0.0073186885020533055,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,2,2,swe+ceus,constitutive,C_v,0.0010000000000000002,0.0010000000000000002,0.0006666666666666666,0.0015000000000000007,1.0,0.0,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,3,3,swe+ceus,constitutive,mu,2999.9999999999977,2992.6551703991245,2982.4744975688927,3002.8705949428613,0.0029598784003000145,-0.0024512784633206053,True,12,13,0.0,1.0
